program;size;time
eigen_vanilla;1;0.000528138
eigen_vanilla;1;0.000549424
eigen_vanilla;1;0.00057337
eigen_vanilla;1;0.000568208
eigen_vanilla;1;0.000480979
eigen_vanilla;1;0.00054431
eigen_vanilla;1;0.000542144
eigen_vanilla;1;0.000502704
eigen_vanilla;1;0.000485464
eigen_vanilla;1;0.000488918
eigen_vanilla;1;0.000510874
eigen_vanilla;1;0.000483341
eigen_vanilla;1;0.000513834
eigen_vanilla;1;0.000480336
eigen_vanilla;1;0.000502322
eigen_vanilla;1;0.000998927
eigen_vanilla;1;0.000510015
eigen_vanilla;1;0.000621066
eigen_vanilla;1;0.000520191
eigen_vanilla;1;0.000648025
eigen_vanilla;2;0.00108649
eigen_vanilla;2;0.00108141
eigen_vanilla;2;0.00127687
eigen_vanilla;2;0.00114307
eigen_vanilla;2;0.00109304
eigen_vanilla;2;0.00114175
eigen_vanilla;2;0.00113601
eigen_vanilla;2;0.00110803
eigen_vanilla;2;0.00109569
eigen_vanilla;2;0.00124378
eigen_vanilla;2;0.00117794
eigen_vanilla;2;0.0011276
eigen_vanilla;2;0.00127393
eigen_vanilla;2;0.001104
eigen_vanilla;2;0.0021026
eigen_vanilla;2;0.00124278
eigen_vanilla;2;0.0012998
eigen_vanilla;2;0.00132646
eigen_vanilla;2;0.00207072
eigen_vanilla;2;0.00119801
eigen_vanilla;4;0.00615526
eigen_vanilla;4;0.00638918
eigen_vanilla;4;0.00568214
eigen_vanilla;4;0.00627271
eigen_vanilla;4;0.00553022
eigen_vanilla;4;0.00595764
eigen_vanilla;4;0.00552228
eigen_vanilla;4;0.00563497
eigen_vanilla;4;0.00667899
eigen_vanilla;4;0.00554471
eigen_vanilla;4;0.00571472
eigen_vanilla;4;0.00538199
eigen_vanilla;4;0.00611098
eigen_vanilla;4;0.00547026
eigen_vanilla;4;0.00694432
eigen_vanilla;4;0.00661045
eigen_vanilla;4;0.00677052
eigen_vanilla;4;0.00547512
eigen_vanilla;4;0.00601702
eigen_vanilla;4;0.00544399
eigen_vanilla;8;0.0384368
eigen_vanilla;8;0.0404573
eigen_vanilla;8;0.038749
eigen_vanilla;8;0.0389052
eigen_vanilla;8;0.037954
eigen_vanilla;8;0.0413479
eigen_vanilla;8;0.0400849
eigen_vanilla;8;0.0424049
eigen_vanilla;8;0.0429808
eigen_vanilla;8;0.0396666
eigen_vanilla;8;0.0383106
eigen_vanilla;8;0.0437317
eigen_vanilla;8;0.0435139
eigen_vanilla;8;0.0398109
eigen_vanilla;8;0.0410189
eigen_vanilla;8;0.0418881
eigen_vanilla;8;0.0373905
eigen_vanilla;8;0.0384365
eigen_vanilla;8;0.0388645
eigen_vanilla;8;0.0430955
eigen_vanilla;10;0.0723157
eigen_vanilla;10;0.0892474
eigen_vanilla;10;0.0790322
eigen_vanilla;10;0.0814508
eigen_vanilla;10;0.0716606
eigen_vanilla;10;0.0789233
eigen_vanilla;10;0.0763468
eigen_vanilla;10;0.0795797
eigen_vanilla;10;0.0775633
eigen_vanilla;10;0.0779265
eigen_vanilla;10;0.072308
eigen_vanilla;10;0.0835151
eigen_vanilla;10;0.0721837
eigen_vanilla;10;0.0741891
eigen_vanilla;10;0.0750019
eigen_vanilla;10;0.0806036
eigen_vanilla;10;0.0799692
eigen_vanilla;10;0.0777777
eigen_vanilla;10;0.0771187
eigen_vanilla;10;0.0742253
eigen_vanilla;16;0.300093
eigen_vanilla;16;0.311854
eigen_vanilla;16;0.311306
eigen_vanilla;16;0.337745
eigen_vanilla;16;0.386217
eigen_vanilla;16;0.406177
eigen_vanilla;16;0.431847
eigen_vanilla;16;0.437433
eigen_vanilla;16;0.426817
eigen_vanilla;16;0.421921
eigen_vanilla;16;0.435156
eigen_vanilla;16;0.447347
eigen_vanilla;16;0.453121
eigen_vanilla;16;0.494684
eigen_vanilla;16;0.44396
eigen_vanilla;16;0.438328
eigen_vanilla;16;0.453318
eigen_vanilla;16;0.420646
eigen_vanilla;16;0.423027
eigen_vanilla;16;0.415077
eigen_vanilla;20;0.794582
eigen_vanilla;20;0.797042
eigen_vanilla;20;0.793124
eigen_vanilla;20;0.804482
eigen_vanilla;20;0.775254
eigen_vanilla;20;0.798659
eigen_vanilla;20;0.80226
eigen_vanilla;20;0.795998
eigen_vanilla;20;0.776627
eigen_vanilla;20;0.811328
eigen_vanilla;20;0.779408
eigen_vanilla;20;0.789281
eigen_vanilla;20;0.789623
eigen_vanilla;20;0.783379
eigen_vanilla;20;0.779079
eigen_vanilla;20;0.782558
eigen_vanilla;20;0.768165
eigen_vanilla;20;0.776632
eigen_vanilla;20;0.765355
eigen_vanilla;20;0.874806
eigen_vanilla;32;3.92269
eigen_vanilla;32;3.20009
eigen_vanilla;32;3.10218
eigen_vanilla;32;3.12686
eigen_vanilla;32;3.04014
eigen_vanilla;32;3.01999
eigen_vanilla;32;3.04909
eigen_vanilla;32;3.10824
eigen_vanilla;32;3.12564
eigen_vanilla;32;3.03481
eigen_vanilla;32;3.06363
eigen_vanilla;32;3.02888
eigen_vanilla;32;3.19679
eigen_vanilla;32;3.5831
eigen_vanilla;32;3.04576
eigen_vanilla;32;3.43333
eigen_vanilla;32;3.45514
eigen_vanilla;32;3.18515
eigen_vanilla;32;3.0514
eigen_vanilla;32;3.07432
eigen_vanilla;40;5.98362
eigen_vanilla;40;6.63601
eigen_vanilla;40;6.95714
eigen_vanilla;40;6.18916
eigen_vanilla;40;6.00985
eigen_vanilla;40;6.0843
eigen_vanilla;40;6.04791
eigen_vanilla;40;6.34391
eigen_vanilla;40;6.17376
eigen_vanilla;40;6.07088
eigen_vanilla;40;6.39962
eigen_vanilla;40;6.02458
eigen_vanilla;40;6.0902
eigen_vanilla;40;6.13885
eigen_vanilla;40;6.10698
eigen_vanilla;40;5.99254
eigen_vanilla;40;6.07729
eigen_vanilla;40;6.01868
eigen_vanilla;40;6.14657
eigen_vanilla;40;6.09677
eigen_vanilla;50;11.9864
eigen_vanilla;50;13.2747
eigen_vanilla;50;13.2912
eigen_vanilla;50;13.0782
eigen_vanilla;50;13.1598
eigen_vanilla;50;12.4703
eigen_vanilla;50;11.8095
eigen_vanilla;50;11.8448
eigen_vanilla;50;11.4778
eigen_vanilla;50;11.6296
eigen_vanilla;50;12.0673
eigen_vanilla;50;12.31
eigen_vanilla;50;11.7746
eigen_vanilla;50;11.7113
eigen_vanilla;50;11.6716
eigen_vanilla;50;12.1528
eigen_vanilla;50;12.2163
eigen_vanilla;50;11.9481
eigen_vanilla;50;11.7147
eigen_vanilla;50;11.8229
eigen_vanilla;64;24.445
eigen_vanilla;64;24.5923
eigen_vanilla;64;24.4285
eigen_vanilla;64;25.4197
eigen_vanilla;64;24.5946
eigen_vanilla;64;24.6916
eigen_vanilla;64;24.4885
eigen_vanilla;64;24.4723
eigen_vanilla;64;25.3861
eigen_vanilla;64;26.4267
eigen_vanilla;64;24.343
eigen_vanilla;64;26.9482
eigen_vanilla;64;24.6161
eigen_vanilla;64;24.4975
eigen_vanilla;64;24.4929
eigen_vanilla;64;24.265
eigen_vanilla;64;24.9328
eigen_vanilla;64;24.6011
eigen_vanilla;64;24.5408
eigen_vanilla;64;24.9356
eigen_vanilla_jit;1;0.00056254
eigen_vanilla_jit;1;0.000569911
eigen_vanilla_jit;1;0.000547371
eigen_vanilla_jit;1;0.000546428
eigen_vanilla_jit;1;0.000545336
eigen_vanilla_jit;1;0.000561336
eigen_vanilla_jit;1;0.000555974
eigen_vanilla_jit;1;0.000548357
eigen_vanilla_jit;1;0.000633958
eigen_vanilla_jit;1;0.000570704
eigen_vanilla_jit;1;0.000571022
eigen_vanilla_jit;1;0.000550119
eigen_vanilla_jit;1;0.00065495
eigen_vanilla_jit;1;0.000552469
eigen_vanilla_jit;1;0.000559944
eigen_vanilla_jit;1;0.000551444
eigen_vanilla_jit;1;0.000546192
eigen_vanilla_jit;1;0.000532757
eigen_vanilla_jit;1;0.000546627
eigen_vanilla_jit;1;0.000573551
eigen_vanilla_jit;2;0.00173406
eigen_vanilla_jit;2;0.00156171
eigen_vanilla_jit;2;0.00179493
eigen_vanilla_jit;2;0.00153398
eigen_vanilla_jit;2;0.00155546
eigen_vanilla_jit;2;0.00160018
eigen_vanilla_jit;2;0.00159499
eigen_vanilla_jit;2;0.00182958
eigen_vanilla_jit;2;0.00155316
eigen_vanilla_jit;2;0.00162252
eigen_vanilla_jit;2;0.00210731
eigen_vanilla_jit;2;0.00168269
eigen_vanilla_jit;2;0.00161279
eigen_vanilla_jit;2;0.00154398
eigen_vanilla_jit;2;0.00156678
eigen_vanilla_jit;2;0.00153589
eigen_vanilla_jit;2;0.00160187
eigen_vanilla_jit;2;0.00157934
eigen_vanilla_jit;2;0.00159298
eigen_vanilla_jit;2;0.00155474
eigen_vanilla_jit;4;0.00789394
eigen_vanilla_jit;4;0.00781393
eigen_vanilla_jit;4;0.0079003
eigen_vanilla_jit;4;0.00777857
eigen_vanilla_jit;4;0.0085632
eigen_vanilla_jit;4;0.00767721
eigen_vanilla_jit;4;0.00790921
eigen_vanilla_jit;4;0.00796557
eigen_vanilla_jit;4;0.007968
eigen_vanilla_jit;4;0.00767499
eigen_vanilla_jit;4;0.00781542
eigen_vanilla_jit;4;0.00794989
eigen_vanilla_jit;4;0.00800802
eigen_vanilla_jit;4;0.00797566
eigen_vanilla_jit;4;0.00898706
eigen_vanilla_jit;4;0.00899429
eigen_vanilla_jit;4;0.00788566
eigen_vanilla_jit;4;0.00768562
eigen_vanilla_jit;4;0.00796589
eigen_vanilla_jit;4;0.00934755
eigen_vanilla_jit;8;0.0547525
eigen_vanilla_jit;8;0.0576238
eigen_vanilla_jit;8;0.0544535
eigen_vanilla_jit;8;0.0538138
eigen_vanilla_jit;8;0.0525888
eigen_vanilla_jit;8;0.053053
eigen_vanilla_jit;8;0.0528964
eigen_vanilla_jit;8;0.0524401
eigen_vanilla_jit;8;0.0530816
eigen_vanilla_jit;8;0.0533231
eigen_vanilla_jit;8;0.0570092
eigen_vanilla_jit;8;0.0531788
eigen_vanilla_jit;8;0.0512527
eigen_vanilla_jit;8;0.0523547
eigen_vanilla_jit;8;0.0669107
eigen_vanilla_jit;8;0.0537389
eigen_vanilla_jit;8;0.0519788
eigen_vanilla_jit;8;0.052142
eigen_vanilla_jit;8;0.0610451
eigen_vanilla_jit;8;0.0560925
eigen_vanilla_jit;10;0.106656
eigen_vanilla_jit;10;0.10326
eigen_vanilla_jit;10;0.101224
eigen_vanilla_jit;10;0.118345
eigen_vanilla_jit;10;0.100107
eigen_vanilla_jit;10;0.120688
eigen_vanilla_jit;10;0.120247
eigen_vanilla_jit;10;0.117557
eigen_vanilla_jit;10;0.111155
eigen_vanilla_jit;10;0.118915
eigen_vanilla_jit;10;0.119611
eigen_vanilla_jit;10;0.134457
eigen_vanilla_jit;10;0.105219
eigen_vanilla_jit;10;0.0998616
eigen_vanilla_jit;10;0.101216
eigen_vanilla_jit;10;0.104014
eigen_vanilla_jit;10;0.116671
eigen_vanilla_jit;10;0.108092
eigen_vanilla_jit;10;0.11775
eigen_vanilla_jit;10;0.0994289
eigen_vanilla_jit;16;0.401535
eigen_vanilla_jit;16;0.410074
eigen_vanilla_jit;16;0.401077
eigen_vanilla_jit;16;0.455324
eigen_vanilla_jit;16;0.427736
eigen_vanilla_jit;16;0.406137
eigen_vanilla_jit;16;0.393724
eigen_vanilla_jit;16;0.395218
eigen_vanilla_jit;16;0.39827
eigen_vanilla_jit;16;0.450714
eigen_vanilla_jit;16;0.436898
eigen_vanilla_jit;16;0.428171
eigen_vanilla_jit;16;0.405854
eigen_vanilla_jit;16;0.435208
eigen_vanilla_jit;16;0.397827
eigen_vanilla_jit;16;0.404616
eigen_vanilla_jit;16;0.394334
eigen_vanilla_jit;16;0.420114
eigen_vanilla_jit;16;0.396807
eigen_vanilla_jit;16;0.417543
eigen_vanilla_jit;20;0.796956
eigen_vanilla_jit;20;0.781049
eigen_vanilla_jit;20;0.81035
eigen_vanilla_jit;20;0.78707
eigen_vanilla_jit;20;0.789398
eigen_vanilla_jit;20;0.783568
eigen_vanilla_jit;20;0.767431
eigen_vanilla_jit;20;0.77986
eigen_vanilla_jit;20;0.799621
eigen_vanilla_jit;20;0.765819
eigen_vanilla_jit;20;0.785893
eigen_vanilla_jit;20;0.796431
eigen_vanilla_jit;20;0.775412
eigen_vanilla_jit;20;0.842463
eigen_vanilla_jit;20;0.78005
eigen_vanilla_jit;20;0.904769
eigen_vanilla_jit;20;1.19516
eigen_vanilla_jit;20;0.766187
eigen_vanilla_jit;20;0.77814
eigen_vanilla_jit;20;0.790984
eigen_vanilla_jit;32;3.27038
eigen_vanilla_jit;32;3.22394
eigen_vanilla_jit;32;3.75842
eigen_vanilla_jit;32;3.51874
eigen_vanilla_jit;32;3.18676
eigen_vanilla_jit;32;3.15513
eigen_vanilla_jit;32;3.12671
eigen_vanilla_jit;32;3.14588
eigen_vanilla_jit;32;3.17858
eigen_vanilla_jit;32;3.50828
eigen_vanilla_jit;32;3.24364
eigen_vanilla_jit;32;3.16547
eigen_vanilla_jit;32;3.22227
eigen_vanilla_jit;32;3.16173
eigen_vanilla_jit;32;4.02744
eigen_vanilla_jit;32;4.20716
eigen_vanilla_jit;32;3.22242
eigen_vanilla_jit;32;3.13031
eigen_vanilla_jit;32;3.18703
eigen_vanilla_jit;32;3.21353
eigen_vanilla_jit;40;6.19856
eigen_vanilla_jit;40;6.2157
eigen_vanilla_jit;40;6.5529
eigen_vanilla_jit;40;6.17722
eigen_vanilla_jit;40;6.2952
eigen_vanilla_jit;40;6.21799
eigen_vanilla_jit;40;6.21985
eigen_vanilla_jit;40;6.23236
eigen_vanilla_jit;40;6.22668
eigen_vanilla_jit;40;6.15538
eigen_vanilla_jit;40;6.12897
eigen_vanilla_jit;40;6.16455
eigen_vanilla_jit;40;8.13809
eigen_vanilla_jit;40;6.34751
eigen_vanilla_jit;40;6.14452
eigen_vanilla_jit;40;6.15183
eigen_vanilla_jit;40;6.80253
eigen_vanilla_jit;40;6.60817
eigen_vanilla_jit;40;6.28024
eigen_vanilla_jit;40;6.25086
eigen_vanilla_jit;50;12.0275
eigen_vanilla_jit;50;12.5797
eigen_vanilla_jit;50;12.1595
eigen_vanilla_jit;50;11.966
eigen_vanilla_jit;50;12.7035
eigen_vanilla_jit;50;12.0908
eigen_vanilla_jit;50;11.9713
eigen_vanilla_jit;50;12.0993
eigen_vanilla_jit;50;12.0173
eigen_vanilla_jit;50;13.3163
eigen_vanilla_jit;50;12.0261
eigen_vanilla_jit;50;12.2807
eigen_vanilla_jit;50;12.1202
eigen_vanilla_jit;50;12.8426
eigen_vanilla_jit;50;12.3182
eigen_vanilla_jit;50;12.1515
eigen_vanilla_jit;50;12.0312
eigen_vanilla_jit;50;12.0481
eigen_vanilla_jit;50;12.126
eigen_vanilla_jit;50;12.1036
eigen_vanilla_jit;64;25.3121
eigen_vanilla_jit;64;25.3994
eigen_vanilla_jit;64;25.3142
eigen_vanilla_jit;64;25.9877
eigen_vanilla_jit;64;27.1062
eigen_vanilla_jit;64;25.3714
eigen_vanilla_jit;64;25.5212
eigen_vanilla_jit;64;25.656
eigen_vanilla_jit;64;27.2132
eigen_vanilla_jit;64;25.3507
eigen_vanilla_jit;64;28.3845
eigen_vanilla_jit;64;28.8546
eigen_vanilla_jit;64;27.7598
eigen_vanilla_jit;64;28.1909
eigen_vanilla_jit;64;32.1422
eigen_vanilla_jit;64;25.8399
eigen_vanilla_jit;64;25.0755
eigen_vanilla_jit;64;28.4628
eigen_vanilla_jit;64;27.0822
eigen_vanilla_jit;64;29.9777
