file;size;repeat;TOT_CYC;L1_CACHE_MISSES;TOT_INS
test_addition_static;1;10;18747;231;4666
test_addition_static;1;10;12582;225;4666
test_addition_static;1;10;12638;230;4666
test_addition_static;1;10;12299;230;4666
test_addition_static;1;10;12465;236;4666
test_addition_static;1;10;12980;220;4666
test_addition_static;1;10;12326;227;4666
test_addition_static;1;10;12392;230;4672
test_addition_static;1;10;12222;232;4666
test_addition_static;1;10;11850;230;4666
test_addition_static;1;10;12369;223;4666
test_addition_static;1;10;12225;228;4666
test_addition_static;1;10;13367;232;4667
test_addition_static;1;10;11493;215;4666
test_addition_static;1;10;12240;223;4666
test_addition_static;1;10;12616;237;4666
test_addition_static;1;10;12184;235;4666
test_addition_static;1;10;12487;227;4666
test_addition_static;1;10;13332;238;4667
test_addition_static;1;10;11735;217;4666
test_addition_static;1;20;12073;229;4786
test_addition_static;1;20;12061;221;4786
test_addition_static;1;20;11964;240;4786
test_addition_static;1;20;12094;227;4786
test_addition_static;1;20;12661;232;4786
test_addition_static;1;20;11459;230;4786
test_addition_static;1;20;12839;235;4786
test_addition_static;1;20;12066;229;4786
test_addition_static;1;20;13525;268;4786
test_addition_static;1;20;12318;230;4786
test_addition_static;1;20;12490;216;4786
test_addition_static;1;20;12133;214;4786
test_addition_static;1;20;12694;233;4786
test_addition_static;1;20;13420;227;4787
test_addition_static;1;20;12567;220;4786
test_addition_static;1;20;12207;221;4786
test_addition_static;1;20;12035;232;4786
test_addition_static;1;20;12518;238;4786
test_addition_static;1;20;12080;227;4786
test_addition_static;1;20;11995;223;4786
test_addition_static;1;50;12796;235;5146
test_addition_static;1;50;12789;222;5146
test_addition_static;1;50;11948;210;5146
test_addition_static;1;50;12904;229;5146
test_addition_static;1;50;12326;229;5146
test_addition_static;1;50;12599;237;5146
test_addition_static;1;50;13475;223;5147
test_addition_static;1;50;12114;226;5146
test_addition_static;1;50;12961;219;5146
test_addition_static;1;50;12173;212;5146
test_addition_static;1;50;11841;222;5146
test_addition_static;1;50;12916;235;5146
test_addition_static;1;50;12245;224;5146
test_addition_static;1;50;12704;222;5146
test_addition_static;1;50;12143;240;5146
test_addition_static;1;50;11875;214;5146
test_addition_static;1;50;12536;219;5146
test_addition_static;1;50;12103;230;5146
test_addition_static;1;50;11968;216;5146
test_addition_static;1;50;11997;228;5146
test_addition_static;1;100;12504;206;5746
test_addition_static;1;100;12895;235;5746
test_addition_static;1;100;12802;229;5746
test_addition_static;1;100;13090;228;5746
test_addition_static;1;100;14184;226;5746
test_addition_static;1;100;12088;218;5746
test_addition_static;1;100;12927;218;5746
test_addition_static;1;100;12653;233;5746
test_addition_static;1;100;13418;219;5747
test_addition_static;1;100;12533;235;5746
test_addition_static;1;100;12740;230;5746
test_addition_static;1;100;12945;224;5746
test_addition_static;1;100;12715;228;5746
test_addition_static;1;100;12103;219;5746
test_addition_static;1;100;12954;239;5746
test_addition_static;1;100;12534;231;5746
test_addition_static;1;100;13903;230;5747
test_addition_static;1;100;12644;228;5746
test_addition_static;1;100;12579;229;5746
test_addition_static;1;100;12576;222;5746
test_addition_static;1;1000;19274;226;16546
test_addition_static;1;1000;19042;227;16546
test_addition_static;1;1000;19557;237;16546
test_addition_static;1;1000;19430;223;16546
test_addition_static;1;1000;18851;216;16546
test_addition_static;1;1000;19718;214;16546
test_addition_static;1;1000;19241;226;16546
test_addition_static;1;1000;19392;227;16546
test_addition_static;1;1000;19611;236;16546
test_addition_static;1;1000;19584;229;16546
test_addition_static;1;1000;19885;231;16546
test_addition_static;1;1000;19412;216;16546
test_addition_static;1;1000;18606;230;16546
test_addition_static;1;1000;18525;232;16546
test_addition_static;1;1000;19255;237;16546
test_addition_static;1;1000;18810;221;16546
test_addition_static;1;1000;19811;233;16546
test_addition_static;1;1000;18245;226;16546
test_addition_static;1;1000;19011;228;16546
test_addition_static;1;1000;19915;221;16547
test_addition_static;1;10000;81997;219;124546
test_addition_static;1;10000;81952;223;124546
test_addition_static;1;10000;82451;242;124546
test_addition_static;1;10000;82049;209;124546
test_addition_static;1;10000;81764;206;124546
test_addition_static;1;10000;82448;233;124546
test_addition_static;1;10000;82680;223;124547
test_addition_static;1;10000;82221;212;124546
test_addition_static;1;10000;82983;215;124546
test_addition_static;1;10000;87683;226;124546
test_addition_static;1;10000;83367;220;124547
test_addition_static;1;10000;82905;238;124547
test_addition_static;1;10000;82295;246;124546
test_addition_static;1;10000;81692;216;124546
test_addition_static;1;10000;82021;231;124546
test_addition_static;1;10000;82181;226;124546
test_addition_static;1;10000;81694;219;124546
test_addition_static;1;10000;86907;233;124546
test_addition_static;1;10000;81329;211;124546
test_addition_static;1;10000;81835;235;124546
test_addition_static;1;100000;711596;234;1204546
test_addition_static;1;100000;712257;231;1204546
test_addition_static;1;100000;712163;246;1204546
test_addition_static;1;100000;713632;234;1204548
test_addition_static;1;100000;712305;218;1204546
test_addition_static;1;100000;712904;226;1204546
test_addition_static;1;100000;711837;239;1204546
test_addition_static;1;100000;711473;226;1204546
test_addition_static;1;100000;713225;236;1204546
test_addition_static;1;100000;712137;227;1204546
test_addition_static;1;100000;713222;232;1204547
test_addition_static;1;100000;711990;219;1204546
test_addition_static;1;100000;712353;231;1204546
test_addition_static;1;100000;712411;232;1204547
test_addition_static;1;100000;712746;231;1204546
test_addition_static;1;100000;715459;242;1204547
test_addition_static;1;100000;711777;231;1204546
test_addition_static;1;100000;712116;232;1204546
test_addition_static;1;100000;713262;238;1204547
test_addition_static;1;100000;712035;223;1204546
test_addition_static;2;10;12157;218;4723
test_addition_static;2;10;12329;222;4723
test_addition_static;2;10;12683;240;4723
test_addition_static;2;10;12884;238;4723
test_addition_static;2;10;11959;220;4723
test_addition_static;2;10;12284;231;4723
test_addition_static;2;10;12421;229;4723
test_addition_static;2;10;12413;220;4723
test_addition_static;2;10;11923;223;4723
test_addition_static;2;10;12664;226;4723
test_addition_static;2;10;12557;213;4723
test_addition_static;2;10;12278;232;4723
test_addition_static;2;10;12852;234;4723
test_addition_static;2;10;12103;215;4723
test_addition_static;2;10;12289;234;4723
test_addition_static;2;10;12802;234;4723
test_addition_static;2;10;12272;243;4723
test_addition_static;2;10;12572;226;4723
test_addition_static;2;10;13235;234;4723
test_addition_static;2;10;12394;226;4723
test_addition_static;2;20;11986;211;4893
test_addition_static;2;20;12012;234;4893
test_addition_static;2;20;12391;235;4894
test_addition_static;2;20;12101;222;4893
test_addition_static;2;20;12031;224;4893
test_addition_static;2;20;12524;229;4893
test_addition_static;2;20;12078;218;4893
test_addition_static;2;20;12724;230;4893
test_addition_static;2;20;12666;230;4893
test_addition_static;2;20;12317;234;4893
test_addition_static;2;20;12997;235;4893
test_addition_static;2;20;14306;236;4894
test_addition_static;2;20;12658;241;4893
test_addition_static;2;20;12279;233;4893
test_addition_static;2;20;13430;241;4894
test_addition_static;2;20;11651;220;4893
test_addition_static;2;20;12400;224;4893
test_addition_static;2;20;12407;216;4893
test_addition_static;2;20;13421;239;4894
test_addition_static;2;20;12148;216;4893
test_addition_static;2;50;12161;220;5403
test_addition_static;2;50;11996;232;5403
test_addition_static;2;50;13504;234;5404
test_addition_static;2;50;12721;228;5403
test_addition_static;2;50;12732;218;5403
test_addition_static;2;50;15584;231;5403
test_addition_static;2;50;12868;218;5403
test_addition_static;2;50;12224;227;5403
test_addition_static;2;50;12158;224;5403
test_addition_static;2;50;13183;246;5403
test_addition_static;2;50;12238;229;5403
test_addition_static;2;50;12245;232;5403
test_addition_static;2;50;12676;231;5403
test_addition_static;2;50;12673;236;5403
test_addition_static;2;50;13521;234;5404
test_addition_static;2;50;12473;224;5403
test_addition_static;2;50;12083;226;5403
test_addition_static;2;50;12701;217;5403
test_addition_static;2;50;12422;220;5403
test_addition_static;2;50;12662;213;5403
test_addition_static;2;100;12805;240;6253
test_addition_static;2;100;12027;223;6253
test_addition_static;2;100;12794;223;6253
test_addition_static;2;100;13091;229;6253
test_addition_static;2;100;12330;226;6253
test_addition_static;2;100;12246;215;6253
test_addition_static;2;100;12874;225;6253
test_addition_static;2;100;12542;223;6253
test_addition_static;2;100;12674;228;6253
test_addition_static;2;100;12513;226;6253
test_addition_static;2;100;13428;234;6253
test_addition_static;2;100;12565;229;6253
test_addition_static;2;100;12699;217;6253
test_addition_static;2;100;12017;232;6253
test_addition_static;2;100;12335;225;6253
test_addition_static;2;100;12622;225;6253
test_addition_static;2;100;13451;233;6253
test_addition_static;2;100;13364;234;6254
test_addition_static;2;100;13735;236;6254
test_addition_static;2;100;12157;228;6253
test_addition_static;2;1000;17234;237;21553
test_addition_static;2;1000;19653;233;21553
test_addition_static;2;1000;17856;226;21554
test_addition_static;2;1000;17185;238;21553
test_addition_static;2;1000;16833;220;21553
test_addition_static;2;1000;17559;217;21553
test_addition_static;2;1000;17136;210;21553
test_addition_static;2;1000;17266;228;21553
test_addition_static;2;1000;16958;234;21553
test_addition_static;2;1000;17904;217;21553
test_addition_static;2;1000;20838;237;21554
test_addition_static;2;1000;19771;233;21553
test_addition_static;2;1000;17322;228;21553
test_addition_static;2;1000;17554;232;21553
test_addition_static;2;1000;17034;228;21553
test_addition_static;2;1000;16638;220;21553
test_addition_static;2;1000;17439;233;21553
test_addition_static;2;1000;16907;229;21553
test_addition_static;2;1000;17328;233;21553
test_addition_static;2;1000;17202;222;21553
test_addition_static;2;10000;62381;234;174553
test_addition_static;2;10000;63606;226;174554
test_addition_static;2;10000;62084;227;174553
test_addition_static;2;10000;62033;221;174553
test_addition_static;2;10000;61882;226;174553
test_addition_static;2;10000;62328;229;174553
