file;N;M;K;TOT_CYC;L1_DCM;TOT_INS;
JIT;4;32;32;9546;223;12566;
JIT;4;32;32;5194;214;12566;
JIT;4;32;32;10777;218;17631;
JIT;4;32;32;10085;218;17631;
NOJIT;4;32;32;14534;283;38085;
NOJIT;4;32;32;12861;213;37480;
NOJIT;4;32;32;7926;217;18895;
NOJIT;4;32;32;6478;213;18895;
JIT;1;1;1;1552;21;354;
JIT;1;1;1;674;18;354;
JIT;1;1;1;938;22;354;
JIT;1;1;1;719;11;354;
NOJIT;1;1;1;2804;54;987;
NOJIT;1;1;1;982;22;382;
NOJIT;1;1;1;1784;17;406;
NOJIT;1;1;1;849;19;406;
JIT;1;1;2;1290;25;358;
JIT;1;1;2;891;10;358;
JIT;1;1;2;971;15;358;
JIT;1;1;2;758;17;358;
NOJIT;1;1;2;2453;52;1001;
NOJIT;1;1;2;1002;16;396;
NOJIT;1;1;2;1592;21;422;
NOJIT;1;1;2;940;19;422;
JIT;1;1;4;1608;23;366;
JIT;1;1;4;752;22;366;
JIT;1;1;4;913;17;366;
JIT;1;1;4;864;18;366;
NOJIT;1;1;4;2662;58;1029;
NOJIT;1;1;4;915;18;424;
NOJIT;1;1;4;1646;15;435;
NOJIT;1;1;4;885;18;435;
JIT;1;1;8;2443;29;382;
JIT;1;1;8;841;20;382;
JIT;1;1;8;1069;23;382;
JIT;1;1;8;861;16;382;
NOJIT;1;1;8;2326;46;1085;
NOJIT;1;1;8;932;23;480;
NOJIT;1;1;8;2331;23;448;
NOJIT;1;1;8;1012;23;448;
JIT;1;1;16;2071;26;415;
JIT;1;1;16;1035;30;415;
JIT;1;1;16;1267;29;414;
JIT;1;1;16;833;21;414;
NOJIT;1;1;16;2763;54;1197;
NOJIT;1;1;16;1017;26;592;
NOJIT;1;1;16;2348;31;474;
NOJIT;1;1;16;967;25;474;
JIT;1;1;32;2788;32;480;
JIT;1;1;32;1163;33;480;
JIT;1;1;32;1296;28;478;
JIT;1;1;32;1169;26;478;
NOJIT;1;1;32;2531;78;1421;
NOJIT;1;1;32;1120;30;816;
NOJIT;1;1;32;2942;34;526;
NOJIT;1;1;32;1215;42;526;
JIT;1;1;64;2253;38;590;
JIT;1;1;64;1316;30;590;
JIT;1;1;64;1822;32;590;
JIT;1;1;64;1347;33;590;
NOJIT;1;1;64;2855;66;1869;
NOJIT;1;1;64;1160;39;1264;
NOJIT;1;1;64;2333;33;630;
NOJIT;1;1;64;1165;34;630;
JIT;1;1;128;2726;52;797;
